title,overview,genres,cast,poster_url
Gladiator II,"Years after witnessing the death of the revered hero Maximus at the hands of his uncle, Lucius is forced to enter the Colosseum after his home is conquered by the tyrannical Emperors who now lead Rome with an iron fist. With rage in his heart and the future of the Empire at stake, Lucius must look to his past to find strength and honor to return the glory of Rome to its people.","['Action', 'Adventure']","['Paul Mescal', 'Denzel Washington', 'Connie Nielsen', 'Pedro Pascal', 'Joseph Quinn']",https://image.tmdb.org/t/p/w500/2cxhvwyEwRlysAmRH4iodkvo0z5.jpg
Project Silence,"Due to sudden deteriorating weather conditions, visibility on the Airport Bridge is severely impaired, leaving people stranded and at risk of the bridge collapsing due to a series of chain collisions and explosions. Amidst the chaos, the canine subjects ""Echo"" from the military experiment ""Project Silence,"" who were being transported in secret, break free, and all human survivors become targets of relentless attacks.","['Action', 'Thriller', 'Horror', 'Science Fiction']","['Lee Sun-kyun', 'Ju Ji-hoon', 'Kim Hee-won', 'Moon Sung-keun', 'Ye Su-jeong']",https://image.tmdb.org/t/p/w500/fttoFfKikQMwIoV3UVvlCvBhbUw.jpg
Hellboy: The Crooked Man,"Hellboy and a rookie BPRD agent get stranded in 1950s rural Appalachia. There, they discover a small community haunted by witches, led by a local devil with a troubling connection to Hellboy's past: the Crooked Man.","['Fantasy', 'Horror', 'Action']","['Jack Kesy', 'Jefferson White', 'Adeline Rudolph', 'Martin Bassindale', 'Leah McNamara']",https://image.tmdb.org/t/p/w500/iz2GabtToVB05gLTVSH7ZvFtsMM.jpg
Wish,"Asha, a sharp-witted idealist, makes a wish so powerful that it is answered by a cosmic force – a little ball of boundless energy called Star. Together, Asha and Star confront a most formidable foe - the ruler of Rosas, King Magnifico - to save her community and prove that when the will of one courageous human connects with the magic of the stars, wondrous things can happen.","['Animation', 'Family', 'Fantasy', 'Adventure']","['Ariana DeBose', 'Chris Pine', 'Alan Tudyk', 'Angelique Cabral', 'Victor Garber']",https://image.tmdb.org/t/p/w500/vgJZSqKMXWDDx09iSIStGKfHMku.jpg
Winnie-the-Pooh: Blood and Honey 2,"Five months following the murders, Christopher Robin struggles to maintain a regular life while dealing with PTSD. However, deep within the 100-Acre-Wood, a destructive rage grows as Pooh, Piglet, Owl, and Tigger find their home and their lives endangered after their existence is revealed.","['Horror', 'Thriller']","['Scott Chambers', 'Ryan Oliva', 'Marcus Massey', 'Tallulah Evans', 'Lewis Santer']",https://image.tmdb.org/t/p/w500/2sADrLwMQof6yYmrJRSa04tFZuS.jpg
Hijack 1971,"Pilots Tae-in and Gyu-sik are set to fly to Gimpo. Under the guidance of flight attendant Ok-soon, passengers are busy boarding. However, shortly after takeoff, a homemade bomb explodes, turning the cabin into chaos.","['Action', 'Thriller', 'Crime']","['Ha Jung-woo', 'Yeo Jin-goo', 'Sung Dong-il', 'Chae Soo-bin', 'Moon You-kang']",https://image.tmdb.org/t/p/w500/68jNkFi61MQjrJEqj2up5wZ4w5R.jpg
Good Mother 3,"Sun-young and Jun-young are living together. However, they have been unable to pay the rent for several months and listen to the pinzan from the landlord. Eventually, after worrying, he goes to Jun-young's father's house and asks for help. But there, the father's new lover, Ji-young, greets them. Sun-young and Jun-young are unable to borrow money and live in the house for the time being. But after that day. Jun-young's father Dae-woong's eyes keep seeing Sun-young's short mini skirt. Ji-young is interested in Jun-young, who is young and manly…",['Romance'],"['Shin Yeon-woo', 'Jeong-yeon', 'Lee Chae-dam', 'Lee Soo-min']",https://image.tmdb.org/t/p/w500/s65C2cKJeqbHVQHPOaOcp7asdFv.jpg
Big City Greens the Movie: Spacecation,"When thrill-seeker Cricket tricks his family into taking a ""road trip"" in space, chaos in the cosmos quickly ensues. Despite growing frustrations between Cricket and his dad, Bill, the two must learn to appreciate each other's unique perspectives in order to prevent Big City from being destroyed by an interstellar disaster.","['Animation', 'Family', 'Comedy', 'Music', 'TV Movie']","['Chris Houghton', 'Marieve Herington', 'Bob Joles', 'Artemis Pebdani', 'Wendi McLendon-Covey']",https://image.tmdb.org/t/p/w500/wV0nNtlL0nxgse8llRi7SypkCQI.jpg
Kung Fu Panda 4,"Po is gearing up to become the spiritual leader of his Valley of Peace, but also needs someone to take his place as Dragon Warrior. As such, he will train a new kung fu practitioner for the spot and will encounter a villain called the Chameleon who conjures villains from the past.","['Animation', 'Family', 'Fantasy', 'Action']","['Jack Black', 'Awkwafina', 'Viola Davis', 'Dustin Hoffman', 'Bryan Cranston']",https://image.tmdb.org/t/p/w500/kDp1vUBnMpe8ak4rjgl3cLELqjU.jpg
Operation Black Ops,"A group of mercenaries are hired to overthrow a Neo-Nazi stronghold nestled deep in the heart of Texas, only to discover they are protecting nuclear codes that could ignite World War III.","['Action', 'Thriller']","['Tito Ortiz', 'Cristiane Justino', 'Mike Ferguson', 'Kelsey Johnson', 'Mike Markoff']",https://image.tmdb.org/t/p/w500/vMgkjQM2fHirExilsTZWJTqL33G.jpg
Terrifier 4,Plot TBA. The fourth installment in the Terrifier franchise.,"['Horror', 'Thriller']","['David Howard Thornton', 'Lauren LaVera']",https://image.tmdb.org/t/p/w500/2p5KjqH3Qo5JI2u8bUAVopzoekm.jpg
Latency,"When professional gamer Hana, who suffers from acute agoraphobia, receives new equipment that enhances her game, she begins to wonder if it is reading her mind – or controlling it.","['Science Fiction', 'Thriller', 'Horror']","['Sasha Luss', 'Alexis Ren', 'Ava Caryofyllis', 'Robert Coleby', 'Kelly B. Jones']",https://image.tmdb.org/t/p/w500/oeSUxCFa0LFsExzTvuz2wjaObyU.jpg
Kinds of Kindness,"A triptych fable following a man without choice who tries to take control of his own life; a policeman who is alarmed that his wife who was missing-at-sea has returned and seems a different person; and a woman determined to find a specific someone with a special ability, who is destined to become a prodigious spiritual leader.","['Drama', 'Comedy']","['Emma Stone', 'Jesse Plemons', 'Willem Dafoe', 'Margaret Qualley', 'Hong Chau']",https://image.tmdb.org/t/p/w500/8mmpltkcG9areafsQHXaURedno3.jpg
Smugglers,"During the 1970s, in Kunchon, there were women divers who were able to dive without equipment, including two best friends Choon-ja and Jin-sook, Jin-sook's brother and Hammer. They always collected seafood under water for living. But, as fewer factories started to be built near the beach, the women divers started to have trouble with what they were doing for living. Without any choice, the ship crews decided to join the smuggling business in the water to seek a way for their living. But the smuggling business in their village got too big for Jin-sook's family to handle and the peaceful village was gradually broken.","['Crime', 'Action']","['Kim Hye-soo', 'Yum Jung-ah', 'Zo In-sung', 'Park Jeong-min', 'Kim Jong-soo']",https://image.tmdb.org/t/p/w500/j8Jx4vpBG258jPxd4o0kOLDwTvm.jpg
The Last Stop in Yuma County,"While awaiting the next fuel truck at a middle-of-nowhere Arizona rest stop, a traveling young knife salesman is thrust into a high-stakes hostage situation by the arrival of two similarly stranded bank robbers with no qualms about using cruelty—or cold, hard steel—to protect their bloodstained, ill-gotten fortune.","['Crime', 'Thriller']","['Jim Cummings', 'Jocelin Donahue', 'Richard Brake', 'Nicholas Logan', 'Faizon Love']",https://image.tmdb.org/t/p/w500/u6ae2MMh8PpSamO3cIttLM5B18v.jpg
Intercambiadas,"One enchanted night, during a meteor shower, young Sebastián made a heartfelt wish: for his loving nanny, Lupe, to become his mother, for her warmth and care were what he longed for, unlike his busy mother, Paola. The stars listened, and in their mysterious way, granted his wish, exchanging the roles of the two women, leading to a whimsical adventure full of unexpected laughs and heartwarming chaos.",['Comedy'],"['Silvia Navarro', 'Michelle Rodríguez', 'Mauricio Islas', 'Alejandro Calva', 'Kaled Acab']",https://image.tmdb.org/t/p/w500/AnvUGHyV21rJOG9KyJojJNHg3nA.jpg
To Be Twenty,"Lia and Tina are two beautiful girls who meet and realize that they have a lot in common. They are both young, beautiful and pissed off, so they decide to hitchhike their way to Rome to find Nazariota's commune, a place to stay for free and have all the sex they want... or so they think. Things don't go as they have planned though, and soon they become involved in prostitution, the police and an aggressive gang.",['Comedy'],"['Gloria Guida', 'Lilli Carati', 'Ray Lovelock', 'Vincenzo Crocitti', 'Giorgio Bracardi']",https://image.tmdb.org/t/p/w500/6QXcWnq8Ln0uypX9y1e3r1wEpF.jpg
The Garfield Movie,"Garfield, the world-famous, Monday-hating, lasagna-loving indoor cat, is about to have a wild outdoor adventure! After an unexpected reunion with his long-lost father – scruffy street cat Vic – Garfield and his canine friend Odie are forced from their perfectly pampered life into joining Vic in a hilarious, high-stakes heist.","['Animation', 'Comedy', 'Family', 'Adventure', 'Action']","['Chris Pratt', 'Samuel L. Jackson', 'Hannah Waddingham', 'Ving Rhames', 'Nicholas Hoult']",https://image.tmdb.org/t/p/w500/p6AbOJvMQhBmffd0PIv0u8ghWeY.jpg
Bag of Lies,"Desperate to save his dying wife, Matt turns to The Bag, an ancient relic with dark magic. The cure demands a chilling ritual and strict rules. As his wife heals, Matt's sanity unravels, facing terrifying consequences.","['Horror', 'Thriller']","['John Wells', 'Madison Pullins', 'Patrick Taft', 'Brandi Botkin', 'Terry Tocantins']",https://image.tmdb.org/t/p/w500/pPElE8npavUirQWmscJUGZyPiP6.jpg
Rippy,"Young police officer Maddy is determined to live up to her deceased father's legacy. Her courage is put to the test when locals are found brutally ripped to shreds by the zombie kangaroo. As the undead beast leaves a trail of carnage, Maddy, with the help of her eccentric Uncle Schmitty and resilient Aunt Donna, must embark on a high-stakes battle to save the town.","['Horror', 'Mystery']","['Michael Biehn', 'Tess Haubrich', 'Aaron Pedersen', 'Angie Milliken', 'Mungo McKay']",https://image.tmdb.org/t/p/w500/cZ5U4Ae74g29E02JR5oR98RQhiR.jpg
Joni pata de conejo,,['Action'],"['Jose Valero', 'Gregor Acuña-Pohl']",https://image.tmdb.org/t/p/w500/a3nKPtKs7SRB6bdlaxPbD7f7eKJ.jpg
Family Pack,"When an old card game comes to life, a family jumps back in time to a medieval village where they must unmask werewolves to secure their return home.","['Adventure', 'Comedy', 'Fantasy', 'Action']","['Franck Dubosc', 'Jean Reno', 'Suzanne Clément', 'Lisa Do Couto Texeira', 'Raphael Romand']",https://image.tmdb.org/t/p/w500/uL1dR0L65GZgy3h2gvZcxDu0bRG.jpg
Japanese Mom,"""Innocent face, D-cup breasts and perfect intercourse skills! Son, this is not your girlfriend anymore but your mother!""  Ki-ho brings Yuki from Japan to marry her. However, he starts cheating on her with his ex-girlfriend in Korea.  Min-cheol comforted Yuki and thought of her as his daughter-in-law, but one day he realizes he is looking at her as a woman.  In the end, Yuki and Min-cheol have intercourse without Ki-ho knowing...","['Romance', 'Drama']","['Jeon Ji-hak', 'Choi Min-ho', 'Saki Mizumi', 'Ha Roo', 'Ahn So-hee']",https://image.tmdb.org/t/p/w500/hq1EaYIqUNrPM3QFYAbnH2UHoX8.jpg
The Bad Guys: Haunted Heist,The crafty Bad Guys crew embarks on a high-stakes Halloween heist to swipe a priceless amulet from a spooky mansion. What could go wrong?,"['Animation', 'Comedy']","['Michael Godere', 'Ezekiel Ajeigbe', 'Raul Ceballos', 'Chris Diamantopoulos', 'Mallory Low']",https://image.tmdb.org/t/p/w500/oEJC05CqPugMxC4rFu9r6r6vg6m.jpg
Trap,"A father and teen daughter attend a pop concert, where they realize they're at the center of a dark and sinister event.","['Thriller', 'Crime']","['Josh Hartnett', 'Ariel Donoghue', 'Saleka', 'Alison Pill', 'Hayley Mills']",https://image.tmdb.org/t/p/w500/jwoaKYVqPgYemFpaANL941EF94R.jpg
Borderlands,"Returning to her home planet, an infamous bounty hunter forms an unexpected alliance with a team of unlikely heroes. Together, they battle monsters and dangerous bandits to protect a young girl who holds the key to unimaginable power.","['Action', 'Science Fiction', 'Comedy']","['Cate Blanchett', 'Kevin Hart', 'Edgar Ramírez', 'Jamie Lee Curtis', 'Ariana Greenblatt']",https://image.tmdb.org/t/p/w500/3NPUQ6Ywayb5ES2IP1HWrDRt1Gc.jpg
Never Let Go,"As an evil takes over the world beyond their front doorstep, the only protection for a mother and her twin sons is their house and their family’s protective bond.","['Horror', 'Drama']","['Halle Berry', 'Anthony B. Jenkins', 'William Catlett', 'Percy Daggs IV', 'Matthew Kevin Anderson']",https://image.tmdb.org/t/p/w500/3EpZ2ksjijmdr8BhISP03PYzNFW.jpg
You're Killing Me,"Eden goes to a coveted 'Heaven and Hell' party, hoping to get a letter of recommendation to an elite university from the wealthy parents of her classmate, but the party quickly turns into a fight for her life.","['Horror', 'Thriller', 'Action']","['McKaley Miller', 'Dermot Mulroney', 'Anne Heche', 'Wil Deusner', 'Brice Anthony Heller']",https://image.tmdb.org/t/p/w500/tAnwQKYkRlXS6Lgaq5XQ7JqS58x.jpg
Kingdom of the Planet of the Apes,"Several generations following Caesar's reign, apes – now the dominant species – live harmoniously while humans have been reduced to living in the shadows. As a new tyrannical ape leader builds his empire, one young ape undertakes a harrowing journey that will cause him to question all he's known about the past and to make choices that will define a future for apes and humans alike.","['Science Fiction', 'Adventure', 'Action']","['Owen Teague', 'Freya Allan', 'Kevin Durand', 'Peter Macon', 'William H. Macy']",https://image.tmdb.org/t/p/w500/gKkl37BQuKTanygYQG1pyYgLVgf.jpg
The Christmas Charade,"A cautious librarian raised by home security experts finds herself in a real-life adventure when a blind date mix-up leads her into an undercover FBI operation. Forced to pose as the girlfriend of Special Agent Josh, she helps him track down an art thief targeting the Saint Nicholas Ruby at a Christmas Eve charity ball.","['TV Movie', 'Comedy', 'Romance', 'Drama']","['Rachel Skarsten', 'Corey Sevier', 'Kristin Booth', 'Rob Stewart', 'Jefferson Brown']",https://image.tmdb.org/t/p/w500/1jgFIqG7haKpxXnckzTw9pzlG4v.jpg
IF,A young girl who goes through a difficult experience begins to see everyone's imaginary friends who have been left behind as their real-life friends have grown up.,"['Comedy', 'Fantasy', 'Family']","['Cailey Fleming', 'Ryan Reynolds', 'John Krasinski', 'Fiona Shaw', 'Steve Carell']",https://image.tmdb.org/t/p/w500/xbKFv4KF3sVYuWKllLlwWDmuZP7.jpg
The Emperor's New Groove,"When self-centered Emperor Kuzco is turned into a llama by his scheming advisor, he is forced to rely on good-hearted peasant Pacha to get back home.","['Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy']","['David Spade', 'John Goodman', 'Eartha Kitt', 'Patrick Warburton', 'Wendie Malick']",https://image.tmdb.org/t/p/w500/wwbgkXQBEKtnyIJapk6gUgWkVw8.jpg
Female Teacher: In Front of the Students,"The lovely Reiko has taken a new teaching job at a creepy old high school.  She is an extremely attractive woman and the young students in her class have fallen for her.  One night, after tennis practice, she is brutally assaulted in the locker room shower by a man with a stocking over his face.  Left on the floor naked and in shock, she discovers a single puzzle piece left behind by the crazed man.  A few days later, a pair of students enact a perverted sexual revenge on Reiko for kicking someone off the tennis team.  Could one of these students be the man who brutalized her in the locker room?  Who owns the strange puzzle piece?  As the mystery unfolds, Reiko must come to terms with her own sexual urges and fate.","['Drama', 'Mystery', 'Horror']","['Rushia Santô', 'Rina Oka', 'Kyôko Sagami', 'Toshiyuki Kitami', 'Toru Nakane']",https://image.tmdb.org/t/p/w500/ilMXOocCCwPWCcDLLa6M0ga8vWt.jpg
LEGO Marvel Avengers: Mission Demolition,"A young, aspiring hero and superhero fan inadvertently unleashes a powerful new villain looking to rid the world of the Avengers.","['Animation', 'Comedy', 'Science Fiction']","['Will Friedle', 'Kevin Smith', 'David Kaye', 'John Stamos', 'Roger Craig Smith']",https://image.tmdb.org/t/p/w500/k3LGf9afqmUZiAJ9nffBinpOhOI.jpg
We Live in Time,"An up-and-coming chef and a recent divorcée find their lives forever changed when a chance encounter brings them together, in a decade-spanning, deeply moving romance.","['Romance', 'Drama', 'Comedy']","['Andrew Garfield', 'Florence Pugh', 'Grace Delaney', 'Lee Braithwaite', 'Aoife Hinds']",https://image.tmdb.org/t/p/w500/flSncTaSISRqrqoJ18ZBmThR4Ee.jpg
Twisters,"As storm season intensifies, the paths of former storm chaser Kate Carter and reckless social-media superstar Tyler Owens collide when terrifying phenomena never seen before are unleashed. The pair and their competing teams find themselves squarely in the paths of multiple storm systems converging over central Oklahoma in the fight of their lives.","['Thriller', 'Action']","['Daisy Edgar-Jones', 'Glen Powell', 'Anthony Ramos', 'Brandon Perea', 'Maura Tierney']",https://image.tmdb.org/t/p/w500/pjnD08FlMAIXsfOLKQbvmO0f0MD.jpg
Charlie and the Chocolate Factory,"A young boy wins a tour through the most magnificent chocolate factory in the world, led by the world's most unusual candy maker.","['Adventure', 'Comedy', 'Family', 'Fantasy']","['Johnny Depp', 'Freddie Highmore', 'David Kelly', 'Helena Bonham Carter', 'Noah Taylor']",https://image.tmdb.org/t/p/w500/iKP6wg3c6COUe8gYutoGG7qcPnO.jpg
Lee,"The true story of photographer Elizabeth 'Lee' Miller, a fashion model who became an acclaimed war correspondent for Vogue magazine during World War II.","['History', 'Drama', 'War']","['Kate Winslet', ""Josh O'Connor"", 'Alexander Skarsgård', 'Andy Samberg', 'Andrea Riseborough']",https://image.tmdb.org/t/p/w500/zdNWyuim8gpJHe1LtKaDrs43dWz.jpg
"The Tunnel to Summer, the Exit of Goodbyes","Urashima Tunnel – Once you enter that tunnel, you can get whatever you want, but at a price. Kaoru Tohno, who seems to have an elusive personality and traumatic past, and Anzu Hanashiro, who is struggling to reconcile her ideal image and true-to-heart attitude, team up to investigate the Urashima Tunnel and get what they want. This is an unforgettable summer story of nostalgia and sprinting in a remote countryside.","['Animation', 'Drama', 'Romance', 'Fantasy']","['Ouji Suzuka', 'Marie Iitoyo', 'Tasuku Hatanaka', 'Arisa Komiya', 'Haruka Terui']",https://image.tmdb.org/t/p/w500/5AGA6pbBKXZTI8k1c6odx30JuQR.jpg
Godzilla x Kong: The New Empire,"Following their explosive showdown, Godzilla and Kong must reunite against a colossal undiscovered threat hidden within our world, challenging their very existence – and our own.","['Action', 'Adventure', 'Science Fiction']","['Rebecca Hall', 'Brian Tyree Henry', 'Dan Stevens', 'Kaylee Hottle', 'Alex Ferns']",https://image.tmdb.org/t/p/w500/z1p34vh7dEOnLDmyCrlUVLuoDzd.jpg
xXx,"Xander Cage is your standard adrenaline junkie with no fear and a lousy attitude. When the US Government ""recruits"" him to go on a mission, he's not exactly thrilled. His mission: to gather information on an organization that may just be planning the destruction of the world, led by the nihilistic Yorgi.","['Action', 'Adventure', 'Thriller', 'Crime']","['Vin Diesel', 'Asia Argento', 'Marton Csokas', 'Samuel L. Jackson', 'Michael Roof']",https://image.tmdb.org/t/p/w500/xeEw3eLeSFmJgXZzmF2Efww0q3s.jpg
Moana 2,"After receiving an unexpected call from her wayfinding ancestors, Moana journeys alongside Maui and a new crew to the far seas of Oceania and into dangerous, long-lost waters for an adventure unlike anything she's ever faced.","['Animation', 'Adventure', 'Family', 'Comedy']","[""Auli'i Cravalho"", 'Dwayne Johnson', 'Alan Tudyk', 'Rachel House', 'Temuera Morrison']",https://image.tmdb.org/t/p/w500/yh64qw9mgXBvlaWDi7Q9tpUBAvH.jpg
Tatsulok: Tatlo Magkasalo,"Story about a happily married couple visited by an old friend, who ends up stirring the pot by becoming sexually involved with both the husband and the wife.","['Drama', 'Romance']","['Mariane Saint', 'Marlon Marcia', 'Skye Gonzaga', 'Daniela Carolino', 'Mianne Agualada']",https://image.tmdb.org/t/p/w500/zcmPxGIBxxsGVyYuzNWPCWjlQ8X.jpg
Migration,"After a migrating duck family alights on their pond with thrilling tales of far-flung places, the Mallard family embarks on a family road trip, from New England, to New York City, to tropical Jamaica.","['Animation', 'Action', 'Adventure', 'Comedy', 'Family']","['Kumail Nanjiani', 'Elizabeth Banks', 'Caspar Jennings', 'Tresi Gazal', 'Awkwafina']",https://image.tmdb.org/t/p/w500/ldfCF9RhR40mppkzmftxapaHeTo.jpg
Speak No Evil,"When an American family is invited to spend the weekend at the idyllic country estate of a charming British family they befriended on vacation, what begins as a dream holiday soon warps into a snarled psychological nightmare.","['Horror', 'Thriller']","['James McAvoy', 'Mackenzie Davis', 'Scoot McNairy', 'Aisling Franciosi', 'Alix West Lefler']",https://image.tmdb.org/t/p/w500/fDtkrO2OAF8LKQTdzYmu1Y7lCLB.jpg
Uprising,"In the Joseon Dynasty, two friends who grew up together — one the master and one the servant — reunite post-war as enemies on opposing sides.","['Action', 'Drama', 'History']","['Gang Dong-won', 'Park Jeong-min', 'Cha Seung-won', 'Kim Shin-rock', 'Jin Sun-kyu']",https://image.tmdb.org/t/p/w500/hg9OeaCRSpazrfqYyEFr6BDaZW8.jpg
The Family Plan,"Dan Morgan is many things: a devoted husband, a loving father, a celebrated car salesman. He's also a former assassin. And when his past catches up to his present, he's forced to take his unsuspecting family on a road trip unlike any other.","['Action', 'Comedy']","['Mark Wahlberg', 'Michelle Monaghan', 'Maggie Q', 'Zoe Colletti', 'Van Crosby']",https://image.tmdb.org/t/p/w500/jLLtx3nTRSLGPAKl4RoIv1FbEBr.jpg
Caras vemos,"It follows an unconventional family who find themselves embroiled in a personality swap after little Zoe has a mystical encounter with an ancient god. As a result, each family member finds themselves in the body of another.",['Comedy'],"['Mariana Treviño', 'Bruno Bichir', 'Luis de la Rosa', 'Blanca Guerra', 'Paola Hernández']",https://image.tmdb.org/t/p/w500/xohRCoJS9kNKal3MhFBNO3060YR.jpg
A Quiet Place: Day One,"As New York City is invaded by alien creatures who hunt by sound, a woman named Sam fights to survive with her cat.","['Horror', 'Science Fiction', 'Thriller']","[""Lupita Nyong'o"", 'Joseph Quinn', 'Alex Wolff', 'Djimon Hounsou', 'Eliane Umuhire']",https://image.tmdb.org/t/p/w500/hU42CRk14JuPEdqZG3AWmagiPAP.jpg
